day,month,year,doy_sep,region,bill_length,wing_length,tarsus_length
8,9,2009,7,N WA,8,3,3
28,6,2009,-65,N CA,13,6.5,17
29,8,2009,-3,N OR,16,6,25
9,8,2009,-23,N OR,22,8,25
21,9,2009,20,N WA,19,12,26
7,8,2009,-25,N OR,26,12,26
7,8,2009,-25,N OR,18,7,27
7,8,2009,-25,N OR,21,5.5,28
29,8,2009,-3,N OR,17,6,28
9,8,2009,-23,N OR,22,11,28
19,8,2009,-13,N CA,13,4,29
2,8,2009,-30,N CA,18,7,29
7,8,2009,-25,N OR,18,7,29
8,8,2009,-24,N OR,24,7.5,29
7,8,2009,-25,N OR,21,8.2,29
7,8,2009,-25,N OR,20,9,29
31,8,2009,-1,S WA,31,13,29
11,10,2009,40,S WA,36,16,29
8,8,2009,-24,N OR,20,4.5,30
29,7,2009,-34,N OR,17,5.5,30
14,8,2009,-18,N OR,25,5.7,30
7,8,2009,-25,N OR,11,6,30
29,7,2009,-34,N OR,17,6,30
8,8,2009,-24,N OR,28,6,30
22,8,2009,-10,N OR,25,6.8,30
19,7,2009,-44,N OR,22,7.8,30
13,8,2009,-19,S WA,24,8,30
29,8,2009,-3,N OR,31,8,30
14,8,2009,-18,N OR,10,9,30
15,8,2009,-17,S WA,27,9,30
11,8,2009,-21,N OR,25,9.2,30
9,8,2009,-23,N OR,21,10,30
14,8,2009,-18,N OR,24,10,30
17,8,2009,-15,S WA,25,11,30
24,9,2009,23,N WA,22,12,30
31,8,2009,-1,S WA,24,14,30
25,9,2009,24,N WA,25,14,30
10,10,2009,39,S WA,36,18,30
8,8,2009,-24,N OR,20,19,30
31,8,2009,-1,N WA,14.5,3,31
20,9,2009,19,N OR,16,4.5,31
18,7,2009,-45,S OR,22,5,31
2,8,2009,-30,N CA,16,6,31
29,7,2009,-34,N OR,17,6,31
29,7,2009,-34,N OR,19,6,31
13,8,2009,-19,S WA,19,6,31
19,7,2009,-44,N OR,20,6.7,31
11,8,2009,-21,N OR,20,7,31
20,7,2009,-43,S OR,20,7.5,31
7,8,2009,-25,N OR,20,7.5,31
7,8,2009,-25,N OR,21,7.8,31
29,8,2009,-3,N OR,21,8,31
31,8,2009,-1,S WA,20,9.9,31
15,9,2009,14,S WA,17,10,31
1,9,2009,0,N CA,27,11,31
1,9,2009,0,N CA,27,11,31
8,8,2009,-24,N OR,29,14,31
14,9,2009,13,S WA,29,14,31
31,8,2009,-1,S WA,30,14,31
